Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Publication.Date,Total.number.of.passengers,Total.fatal.or.serious.injuries,Likelihood.of.serious.or.fatal.injury,Is.aircraft.destroyed,Make.model,Weather.Condition.missingness
20200713X82236,Accident,ERA20LA245,2020-07-12,"Falmouth, KY",United States,Non-Fatal,Substantial,Airplane,N30309,Cessna,177,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,26-09-2020,1,0,0.0,False,Cessna/177,False
20200713X85046,Accident,WPR20CA227,2020-07-12,"McCall, ID",United States,Non-Fatal,Substantial,Airplane,N952B,Champion,7gcbc,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,06-05-2021,1,0,0.0,False,Champion/7gcbc,False
20200713X05400,Accident,ERA20CA246,2020-07-13,"Cortland, NY",United States,Non-Fatal,Substantial,Airplane,N2716P,Piper,pa22,No,1,Reciprocating,091,Personal,0,1,0,1,VMC,01-06-2021,2,1,0.5,False,Piper/pa22,False
20200713X72318,Accident,WPR20CA220,2020-07-13,"Port Townsend, WA",United States,Non-Fatal,Substantial,Airplane,N185KL,Cessna,a185,No,1,Reciprocating,091,Personal,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Cessna/a185,False
20200713X33312,Accident,WPR20CA222,2020-07-14,"Hayward, CA",United States,Non-Fatal,Substantial,Airplane,N530CA,Cessna,152,No,1,Reciprocating,091,Instructional,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Cessna/152,False
20200714X70754,Accident,CEN20CA281,2020-07-14,"Houston, TX",United States,Non-Fatal,Substantial,Airplane,N72EB,Champion,7gcbc,No,1,Reciprocating,091,Instructional,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Champion/7gcbc,False
20200715X05658,Accident,ANC20LA069,2020-07-14,"Birch Creek, AK",United States,Non-Fatal,Substantial,Airplane,N80166,Air Tractor,at802,No,1,Turbo Prop,137,Firefighting,0,0,0,1,VMC,26-09-2020,1,0,0.0,False,Air Tractor/at802,False
20200715X22441,Accident,CEN20CA284,2020-07-14,"Spring, TX",United States,Non-Fatal,Substantial,Airplane,N1332Z,Beech,95 55,No,2,Reciprocating,091,Instructional,0,0,0,2,VMC,06-05-2021,2,0,0.0,False,Beech/95 55,False
20200716X10938,Accident,ERA20CA251,2020-07-14,"Fuquay Varina, NC",United States,Non-Fatal,Substantial,Airplane,N1520P,Piper,pa 22,No,1,Reciprocating,091,Personal,0,0,0,1,VMC,01-06-2021,1,0,0.0,False,Piper/pa 22,False
20200720X80325,Accident,ANC20CA071,2020-07-14,"Palmer, AK",United States,Non-Fatal,Substantial,Airplane,N360DC,Cessna,a185,No,1,Reciprocating,091,Personal,0,0,0,4,VMC,20-08-2021,4,0,0.0,False,Cessna/a185,False
